# 0.3800 0.4700
# 0.4700 0.5600
   3800.907  2.1754e-11  8.2735e-13         1.0      104.96
   3802.903  2.4297e-11  8.2735e-13         1.0      104.90
   3804.900  2.7973e-11  8.2735e-13         1.0      104.85
   3806.896  2.5750e-11  8.2735e-13         1.0      104.79
   3808.893  2.8319e-11  8.2735e-13         1.0      104.74
   3810.889  2.7742e-11  8.2735e-13         1.0      104.68
   3812.886  2.7619e-11  8.2735e-13         1.0      104.62
   3814.882  2.4790e-11  8.2735e-13         1.0      104.57
   3816.879  2.4827e-11  8.2735e-13         1.0      104.51
   3818.875  2.2828e-11  8.2735e-13         1.0      104.46
   3820.872  2.1381e-11  8.2735e-13         1.0      104.40
   3822.868  2.1257e-11  8.2735e-13         1.0      104.35
   3824.865  2.1496e-11  8.2735e-13         1.0      104.29
   3826.861  1.8379e-11  8.2735e-13         1.0      104.24
   3828.858  1.9088e-11  8.2735e-13         1.0      104.19
   3830.854  1.8191e-11  8.2735e-13         1.0      104.13
   3832.851  1.5917e-11  8.2735e-13         1.0      104.08
   3834.847  1.5682e-11  8.2735e-13         1.0      104.02
   3836.844  1.5853e-11  8.2735e-13         1.0      103.97
   3838.840  1.7864e-11  8.2735e-13         1.0      103.91
   3840.836  1.8605e-11  8.2735e-13         1.0      103.86
   3842.833  2.1882e-11  8.2735e-13         1.0      103.80
   3844.829  2.5330e-11  8.2735e-13         1.0      103.75
   3846.826  2.7110e-11  8.2735e-13         1.0      103.70
   3848.822  2.7191e-11  8.2735e-13         1.0      103.64
   3850.819  2.7229e-11  8.2735e-13         1.0      103.59
   3852.815  2.7183e-11  8.2735e-13         1.0      103.53
   3854.812  2.6465e-11  8.2735e-13         1.0      103.48
   3856.808  2.6991e-11  8.2735e-13         1.0      103.43
   3858.805  2.6937e-11  8.2735e-13         1.0      103.37
   3860.801  2.7356e-11  8.2735e-13         1.0      103.32
   3862.797  2.6956e-11  8.2735e-13         1.0      103.26
   3864.794  2.9761e-11  8.2735e-13         1.0      103.21
   3866.790  2.9766e-11  8.2735e-13         1.0      103.16
   3868.787  2.9535e-11  8.2735e-13         1.0      103.10
   3870.783  2.8545e-11  8.2735e-13         1.0      103.05
   3872.780  2.9152e-11  8.2735e-13         1.0      103.00
   3874.776  2.7440e-11  8.2735e-13         1.0      102.94
   3876.772  2.8872e-11  8.2735e-13         1.0      102.89
   3878.769  2.6566e-11  8.2735e-13         1.0      102.84
   3880.765  2.7092e-11  8.2735e-13         1.0      102.78
   3882.762  2.7288e-11  8.2735e-13         1.0      102.73
   3884.758  2.6821e-11  8.2735e-13         1.0      102.68
   3886.754  2.5901e-11  8.2735e-13         1.0      102.62
   3888.751  2.4759e-11  8.2735e-13         1.0      102.57
   3890.747  2.4025e-11  8.2735e-13         1.0      102.52
   3892.744  2.8174e-11  8.2735e-13         1.0      102.46
   3894.740  2.9695e-11  8.2735e-13         1.0      102.41
   3896.736  3.1716e-11  8.2735e-13         1.0      102.36
   3898.733  3.2516e-11  8.2735e-13         1.0      102.31
   3900.729  3.1426e-11  8.2735e-13         1.0      102.25
   3902.765  3.1201e-11  8.2735e-13         1.0      102.20
   3904.762  3.1703e-11  8.2735e-13         1.0      102.15
   3906.758  3.2347e-11  8.2735e-13         1.0      102.09
   3908.755  3.3491e-11  8.2735e-13         1.0      102.04
   3910.751  3.6533e-11  8.2735e-13         1.0      101.99
   3912.747  3.4683e-11  8.2735e-13         1.0      101.94
   3914.744  3.5449e-11  8.2735e-13         1.0      101.88
   3916.740  3.3307e-11  8.2735e-13         1.0      101.83
